Style,Sub-style,Family,OG_min,OG_max,FG_min,FG_max,ABV_min,ABV_max,IBU_min,IBU_max
American Light Lager,,1. STANDARD AMERICAN BEER,1.028,1.04,0.998,1.008,2.8,4.2,8,12
American Lager,,1. STANDARD AMERICAN BEER,1.04,1.05,1.004,1.01,4.2,5.3,8,18
Cream Ale,,1. STANDARD AMERICAN BEER,1.042,1.055,1.006,1.012,2.5,4.2,8,20
American Wheat Beer,,1. STANDARD AMERICAN BEER,1.04,1.055,1.008,1.013,4,5.5,15,30
International Pale Lager,,2. INTERNATIONAL LAGER,1.042,1.05,1.008,1.012,4.6,6,18,25
International Amber Lager,,2. INTERNATIONAL LAGER,1.042,1.055,1.008,1.014,4.6,6,8,25
International Dark Lager,,2. INTERNATIONAL LAGER,1.044,1.056,1.008,1.012,4.2,6,8,20
Czech Pale Lager,,3. CZECH LAGER,1.028,1.044,1.008,1.014,3,4.1,20,35
Czech Premium Pale Lager,,3. CZECH LAGER,1.044,1.06,1.013,1.017,3.5,4.2,30,45
Czech Amber Lager,,3. CZECH LAGER,1.044,1.06,1.013,1.017,4.4,5.8,20,35
Czech Dark Lager,,3. CZECH LAGER,1.044,1.06,1.013,1.017,4.4,5.8,18,34
Munich Helles,,4. PALE MALTY EUROPEAN LAGER,1.044,1.048,1.006,1.012,4.7,5.4,16,22
Festbier,,4. PALE MALTY EUROPEAN LAGER,1.054,1.057,1.01,1.012,5.8,6.3,18,25
Helles Bock,,4. PALE MALTY EUROPEAN LAGER,1.064,1.072,1.011,1.018,6.3,7.4,23,35
German Leichtbier,,5. PALE BITTER EUROPEAN BEER,1.026,1.034,1.006,1.01,2.4,3.6,15,28
KÃ¶lsch,,5. PALE BITTER EUROPEAN BEER,1.044,1.05,1.007,1.011,3.5,4.4,18,30
German Helles Exportbier,,5. PALE BITTER EUROPEAN BEER,1.048,1.056,1.01,1.015,4.8,6,20,30
German Pils,,5. PALE BITTER EUROPEAN BEER,1.044,1.05,1.008,1.013,4.4,5.2,22,40
MÃ¤rzen,,6. AMBER MALTY EUROPEAN LAGER,1.054,1.06,1.01,1.014,5.8,6.3,18,24
Rauchbier,,6. AMBER MALTY EUROPEAN LAGER,1.05,1.057,1.012,1.016,4.8,,20,30
Dunkles Bock,,6. AMBER MALTY EUROPEAN LAGER,1.064,1.072,1.013,1.019,6.3,7.2,20,27
Vienna Lager,,7. AMBER BITTER EUROPEAN BEER,1.048,1.055,1.01,1.014,4.7,5.5,18,30
Altbier,,7. AMBER BITTER EUROPEAN BEER,1.044,1.052,1.008,1.014,4.3,5.5,25,50
Kellerbier,,7. AMBER BITTER EUROPEAN BEER,1.0451.048,1.0511.054,1.0081.012,1.0121.016,4.74.8,5.45.4,2025,3540
Munich Dunkel,,8. DARK EUROPEAN LAGER,1.048,1.056,1.01,1.016,4.5,5.6,18,28
Schwarzbier,,8. DARK EUROPEAN LAGER,1.046,1.052,1.01,1.016,4.4,5.4,20,30
Doppelbock,,9. STRONG EUROPEAN BEER,1.072,1.112,1.016,1.024,7,0,16,26
Eisbock,,9. STRONG EUROPEAN BEER,1.078,1.12,1.02,1.035,9,4,25,35
Baltic Porter,,9. STRONG EUROPEAN BEER,1.06,1.09,1.016,1.024,6.5,9.5,20,40
Weissbier,,10. GERMAN WHEAT BEER,1.044,1.052,1.01,1.014,4.3,5.6,8,15
Dunkles Weissbier,,10. GERMAN WHEAT BEER,1.044,1.056,1.01,1.014,4.3,5.6,10,18
Weizenbock,,10. GERMAN WHEAT BEER,1.064,1.09,1.015,1.022,6.5,9,15,30
Ordinary Bitter,,11. BRITISH BITTER,1.03,1.039,1.007,1.011,3.2,3.8,25,35
Best Bitter,,11. BRITISH BITTER,1.04,1.048,1.008,1.012,3.8,4.6,25,40
Strong Bitter,,11. BRITISH BITTER,1.048,1.06,1.01,1.016,4.6,6.2,30,50
British Golden Ale,,12. PALE COMMONWEALTH BEER,1.038,1.053,1.006,1.012,3.8,5,20,45
Australian Sparkling Ale,,12. PALE COMMONWEALTH BEER,1.038,1.05,1.004,1.006,4.5,6,20,35
English IPA,,12. PALE COMMONWEALTH BEER,1.05,1.075,1.01,1.018,5,7.5,40,60
Dark Mild,,13. BROWN BRITISH BEER,1.03,1.038,1.008,1.013,3,3.8,10,25
British Brown Ale,,13. BROWN BRITISH BEER,1.04,1.052,1.008,1.013,4.2,5.4,20,30
English Porter,,13. BROWN BRITISH BEER,1.04,1.052,1.008,1.014,4,5.4,18,35
Scottish Light,,14. SCOTTISH ALE,1.03,1.035,1.01,1.013,2.5,3.2,10,20
Scottish Heavy,,14. SCOTTISH ALE,1.035,1.04,1.01,1.015,3.2,3.9,10,20
Scottish Export,,14. SCOTTISH ALE,1.04,1.06,1.01,1.016,3.9,6,15,30
Irish Red Ale,,15. IRISH BEER,1.036,1.046,1.01,1.014,3.8,5,18,28
Irish Stout,,15. IRISH BEER,1.036,1.044,1.007,1.011,4,4.5,25,45
Irish Extra Stout,,15. IRISH BEER,1.052,1.062,1.01,1.014,5.5,6.5,35,50
Sweet Stout,,16. DARK BRITISH BEER,1.044,1.06,1.012,1.024,4,6,20,40
Oatmeal Stout,,16. DARK BRITISH BEER,1.045,1.065,1.01,1.018,4.2,5.9,25,40
Tropical Stout,,16. DARK BRITISH BEER,1.056,1.075,1.01,1.018,5.5,8,30,50
Foreign Extra Stout,,16. DARK BRITISH BEER,1.056,1.075,1.01,1.018,6.3,8,50,70
British Strong Ale,,17. STRONG BRITISH ALE,1.055,1.08,1.015,1.022,5.5,8,30,60
Old Ale,,17. STRONG BRITISH ALE,1.055,1.088,1.015,1.022,5.5,9,30,60
Wee Heavy,,17. STRONG BRITISH ALE,1.07,1.13,1.018,1.04,6.5,0,17,35
English Barleywine,,17. STRONG BRITISH ALE,1.08,1.12,1.018,1.03,8,2,35,70
Blonde Ale,,18. PALE AMERICAN ALE,1.038,1.054,1.008,1.013,3.8,5.5,15,28
American Pale Ale,,18. PALE AMERICAN ALE,1.045,1.06,1.01,1.015,4.5,6.2,30,50
American Amber Ale,,19. AMBER AND BROWN AMERICAN BEER,1.045,1.06,1.01,1.015,4.5,6.2,25,40
California Common,,19. AMBER AND BROWN AMERICAN BEER,1.048,1.054,1.011,1.014,4.5,5.5,30,45
American Brown Ale,,19. AMBER AND BROWN AMERICAN BEER,1.045,1.06,1.01,1.016,4.3,6.2,20,30
American Porter,,20. AMERICAN PORTER AND STOUT,1.05,1.07,1.012,1.018,4.8,6.5,25,50
American Stout,,20. AMERICAN PORTER AND STOUT,1.05,1.075,1.01,1.022,5,7,35,75
Imperial Stout,,20. AMERICAN PORTER AND STOUT,1.075,1.115,1.018,1.03,8,2,50,90
American IPA,,21. IPA,1.056,1.07,1.008,1.014,5.5,7.5,40,70
Specialty IPA,,21. IPA,3,5,5,7.5,7.5,0,5,0
Specialty IPA,Belgian IPA,21. IPA,1.058,1.08,100,1.008,1.016,6.2,50,100
Specialty IPA,Black IPA,21. IPA,1.05,1.085,1.01,1.018,5.5,9,50,90
Specialty IPA,Brown IPA,21. IPA,1.056,1.07,1.008,1.016,5.5,7.5,40,70
Specialty IPA,Red IPA,21. IPA,1.056,1.07,1.008,1.016,5.5,7.5,40,70
Specialty IPA,Rye IPA,21. IPA,1.056,1.075,1.008,1.014,5.5,8,50,75
Specialty IPA,White IPA,21. IPA,1.056,1.065,1.01,1.016,5.5,7,40,70
Double IPA,,22. STRONG AMERICAN ALE,1.065,1.085,120,1.008,1.018,7.5,60,120
American Strong Ale,,22. STRONG AMERICAN ALE,1.062,1.09,100,1.014,1.024,6.3,50,100
American Barleywine,,22. STRONG AMERICAN ALE,1.08,1.12,100,1.016,1.03,8,50,100
Wheatwine,,22. STRONG AMERICAN ALE,1.08,1.12,1.016,1.03,8,2,30,60
Berliner Weisse,,23. EUROPEAN SOUR ALE,1.028,1.032,1.003,1.006,2.8,3.8,3,8
Flanders Red Ale,,23. EUROPEAN SOUR ALE,1.048,1.057,1.002,1.012,4.6,6.5,10,25
Oud Bruin,,23. EUROPEAN SOUR ALE,1.04,1.074,1.008,1.012,4,8,20,25
Lambic,,23. EUROPEAN SOUR ALE,1.04,1.054,1.001,1.01,5,6.5,0,10
Gueuze,,23. EUROPEAN SOUR ALE,1.04,1.06,1,1.006,5,8,0,10
Fruit Lambic,,23. EUROPEAN SOUR ALE,1.04,1.06,1,1.01,5,7,0,10
Witbier,,24. BELGIAN ALE,1.044,1.052,1.008,1.012,4.5,5.5,8,20
Belgian Pale Ale,,24. BELGIAN ALE,1.048,1.054,1.01,1.014,4.8,5.5,20,30
BiÃ¨re de Garde,,24. BELGIAN ALE,1.06,1.08,1.008,1.016,6,8.5,18,28
Belgian Blond Ale,,25. STRONG BELGIAN ALE,1.062,1.075,1.008,1.018,6,7.5,15,30
Saison,,25. STRONG BELGIAN ALE,1.048,1.065,1.002,1.008,3.5,5,20,35
Belgian Golden Strong Ale,,25. STRONG BELGIAN ALE,1.07,1.095,1.005,1.016,7.5,0.5,22,35
Trappist Single,,26. TRAPPIST ALE,1.044,1.054,1.004,1.01,4.8,6,25,45
Belgian Dubbel,,26. TRAPPIST ALE,1.062,1.075,1.008,1.018,6,7.6,15,25
Belgian Tripel,,26. TRAPPIST ALE,1.075,1.085,1.008,1.014,4.5,7.5,20,40
Belgian Dark Strong Ale,,26. TRAPPIST ALE,1.075,1.11,1.01,1.024,8,2,20,35
Gose,Gose,27. HISTORICAL BEER,1.036,1.056,1.006,1.01,4.2,4.8,5,12
Kentucky Common,Kentucky Common,27. HISTORICAL BEER,1.044,1.055,1.01,1.018,4,5.5,15,30
Lichtenhainer,Lichtenhainer,27. HISTORICAL BEER,1.032,1.04,1.004,1.008,3.5,4.7,5,12
London Brown Ale,London Brown Ale,27. HISTORICAL BEER,1.033,1.038,1.012,1.015,2.8,3.6,15,20
Piwo Grodziskie,Piwo Grodziskie,27. HISTORICAL BEER,1.028,1.032,2015,1.006,1.012,2.5,2015,57
Pre-Prohibition Lager,Pre-Prohibition Lager,27. HISTORICAL BEER,1.044,1.06,1.01,1.015,4.5,6,25,40
Pre-Prohibition Porter,Pre-Prohibition Porter,27. HISTORICAL BEER,1.046,1.06,1.01,1.016,4.5,6,20,30
Roggenbier,Roggenbier,27. HISTORICAL BEER,1.046,1.056,1.01,1.014,4.5,6,10,20
Sahti,Sahti,27. HISTORICAL BEER,1.076,1.12,1.016,1.02,7,1,7,15
Brett Beer,,28. AMERICAN WILD ALE,,,,,,,,
Mixed-Fermentation Sour Beer,,28. AMERICAN WILD ALE,,,,,,,,
Wild Specialty Beer,,28. AMERICAN WILD ALE,,,,,,,,
Fruit Beer,,29. FRUIT BEER,,,,,,,,
Fruit and Spice Beer,,29. FRUIT BEER,,,,,,,,
Specialty Fruit Beer,,29. FRUIT BEER,,,,,,,,
"Spice, Herb, or Vegetable Beer",,30. SPICED BEER,,,,,,,,
Autumn Seasonal Beer,,30. SPICED BEER,,,,,,,,
Winter Seasonal Beer,,30. SPICED BEER,,,,,,,,
Alternative Grain Beer,,31. ALTERNATIVE FERMENTABLES BEER,,,,,,,,
Alternative Sugar Beer,,31. ALTERNATIVE FERMENTABLES BEER,,,,,,,,
Classic Style Smoked Beer,,32. SMOKED BEER,,,,,,,,
Specialty Smoked Beer,,32. SMOKED BEER,,,,,,,,
Wood-Aged Beer,,33. WOOD BEER,,,,,,,,
Specialty Wood-Aged Beer,,33. WOOD BEER,,,,,,,,
Clone Beer,,34. SPECIALTY BEER,,,,,,,,
Mixed-Style Beer,,34. SPECIALTY BEER,,,,,,,,
Experimental Beer,,34. SPECIALTY BEER,,,,,,,,
